#gasilina.dat
#col. 1 país
#col. 2 galon
#col. 3 salario
México;46.54;67.2
Noruega;127.27;3549.00
Holanda;122.98;1765.00
Italia;121.42;1287.00
Dinamarca;118.82;2210.00
Bélgica;112.84;1703.00
Portugal;111.28;780.00
Turquía;110.11;735.00
Finlandia;109.72;1768.0
israel;107.64;1352.0
H.Kong;107.38;1430.0
