#CLAVE,  CARR,  CAL1, CAL2, PUNTOS, ORD, EXT
FS105, CIV, 71, 100, 40, 91, 
FS103, MEL, 29, 40, 25, 46, 
FS105, QUI, 57, 65, 40, 77, 
FS105, CEL, 21, 0, 10, 16, 
FS107, CEL, 57, 0, 0, 17, 
FS105, IND, 71, 45, 28, 63, 
FS105, CEL, 57, 65, 24, 61, 
FS105, CEL, 93, 75, 40, 90, 
FS107, CEL, 43, 80, 40, 77, 
FS109, QUI, 0, 0, 44, 44, 
FS101, QFB, 30, 35, 0, 20, 52
FS103, MEL, 36, 47, 40, 65, 
FS102, IND, 30, 42, 40, 62, 
FS105, FIS, 57, 0, 0, 17, 
FS103, CIV, 71, 47, 30, 65, 
FS107, MEL, 36, 60, 40, 69, 
FS102, COM, 40, 17, 40, 57, 52
FS102, INF, 70, 42, 39, 73, 
FS109, CIV, 0, 71, 50, 86, 
FS101, CIV, 55, 45, 40, 70, 
FS105, IQU, 71, 75, 40, 84, 
FS108, CEL, 54, 0, 0, 16, 
FS104, CIV, 92, 100, 40, 98, 
FS202, CEL, 40, 30, 40, 61, 
FS103, CIV, 86, 67, 40, 86, 
FS102, TOP, 30, 8, 40, 51, 44
FS102, CEL, 40, 0, 0, 12, 
FS102, IQU, 80, 25, 40, 72, 
FS105, CEL, 57, 50, 38, 70, 
FS102, IND, 30, 25, 40, 56, 
FS102, COM, 10, 8, 40, 45, 
FS104, CIV, 100, 93, 40, 98, 
FS105, FIS, 71, 90, 30, 78, 
FS102, IQU, 60, 17, 40, 63, 
FS109, TOP, 0, 71, 50, 86, 
FS101, TOP, 40, 60, 39, 69, 
FS104, CIV, 100, 86, 40, 96, 
FS202, CEL, 20, 22, 40, 53, 
FS108, CEL, 46, 31, 0, 23, 
FS105, COM, 36, 35, 40, 61, 
FS202, MEL, 60, 56, 40, 75, 
FS107, MEL, 43, 60, 40, 71, 
FS105, CEL, 71, 95, 40, 90, 
FS107, CEL, 29, 67, 37, 66, 
FS104, MEL, 92, 93, 40, 96, 
FS103, MEL, 50, 33, 28, 53, 
FS101, CIV, 80, 45, 40, 78, 
FS109, CIV, 0, 76, 50, 88, 
FS107, CEL, 36, 100, 40, 81, 
FS202, CEL, 30, 33, 18, 37, 49
FS105, QUI, 14, 20, 40, 50, 
FS109, CIV, 0, 76, 49, 87, 
FS101, CIV, 60, 55, 40, 74, 
FS102, COM, 70, 33, 40, 71, 
FS104, CIV, 100, 100, 40, 100, 
FS103, CIV, 64, 67, 40, 79, 
FS109, QUI, 0, 48, 46, 70, 
FS102, IQU, 80, 42, 40, 77, 
FS102, CEL, 90, 75, 18, 68, 
FS102, IND, 50, 25, 40, 62, 
FS101, COM, 20, 0, 20, 26, 
FS108, CEL, 23, 44, 0, 20, 
FS105, IQU, 50, 30, 0, 24, 
FS103, MEL, 93, 53, 35, 79, 
FS105, MEL, 71, 35, 25, 57, 
FS105, COM, 43, 65, 40, 72, 
FS108, CEL, 38, 50, 36, 62, 
FS103, MEL, 93, 40, 40, 80, 
FS105, MEL, 43, 30, 38, 60, 
FS107, MEL, 71, 73, 39, 82, 
FS102, CEL, 10, 0, 32, 35, 
FS105, QUI, 43, 30, 40, 62, 
FS103, CIV, 71, 40, 30, 63, 
FS202, MEL, 40, 67, 40, 72, 
FS102, QUI, 30, 25, 40, 56, 68
FS108, CEL, 31, 81, 0, 34, 
FS105, IQU, 93, 95, 40, 96, 
FS105, IQU, 50, 70, 40, 76, 
FS102, IQU, 80, 50, 40, 79, 
FS102, COM, 90, 25, 40, 74, 
FS103, CIV, 50, 27, 38, 61, 
FS104, CIV, 92, 71, 26, 75, 
FS102, CEL, 70, 8, 37, 60, 
FS102, CEL, 50, 17, 7, 27, 
FS109, QUI, 0, 48, 34, 60, 
FS105, IQU, 0, 35, 0, 10, 
FS102, CEL, 20, 25, 36, 50, 54
FS103, MEL, 64, 47, 32, 65, 
FS107, CEL, 21, 0, 40, 46, 
FS105, CEL, 36, 45, 35, 60, 
FS104, MEL, 50, 36, 10, 36, 
FS104, MEL, 100, 86, 40, 96, 
FS101, QFB, 50, 30, 40, 64, 
FS103, CIV, 64, 53, 32, 67, 
FS103, MEL, 43, 40, 32, 57, 
FS202, MEL, 30, 33, 40, 60, 
FS109, QUI, 0, 71, 50, 86, 
FS202, MEL, 40, 45, 40, 66, 
FS102, CEL, 40, 17, 40, 57, 92
FS105, CEL, 29, 85, 40, 74, 
FS107, MEL, 57, 53, 40, 73, 
FS105, MEL, 21, 25, 35, 49, 
FS102, COM, 30, 17, 0, 14, 
FS105, CIV, 21, 65, 30, 56, 50
FS102, CEL, 50, 17, 33, 53, 78
FS101, CIV, 55, 50, 40, 72, 
FS109, CIV, 0, 71, 50, 86, 
FS102, CEL, 50, 42, 40, 68, 
FS104, MEL, 100, 43, 40, 83, 
FS105, CIV, 14, 90, 40, 71, 
FS109, CEL, 0, 48, 36, 60, 
FS108, CEL, 62, 38, 0, 30, 
FS202, CEL, 60, 33, 40, 68, 
FS102, INF, 50, 0, 0, 15, 
FS102, COM, 60, 33, 40, 68, 
FS102, COM, 80, 33, 40, 74, 
FS103, MEL, 36, 0, 15, 26, 
FS101, TOP, 40, 0, 20, 32, 
FS103, CIV, 43, 27, 20, 41, 47
FS202, FIS, 70, 78, 0, 44, 
FS105, COM, 64, 90, 40, 86, 
FS104, MEL, 83, 57, 29, 71, 
FS105, CEL, 21, 0, 0, 6, 
FS202, CEL, 60, 22, 0, 25, 
FS108, CEL, 54, 69, 40, 77, 
FS105, COM, 79, 80, 40, 88, 
FS102, COM, 80, 67, 39, 83, 
FS107, CEL, 64, 67, 39, 78, 
FS102, COM, 20, 0, 0, 6, 
FS103, CIV, 36, 40, 40, 63, 
FS202, MEL, 50, 44, 40, 68, 
FS101, COM, 25, 0, 20, 28, 
FS103, MEL, 71, 60, 20, 60, 
FS102, QUI, 70, 33, 40, 71, 
FS105, CIV, 36, 85, 40, 76, 
FS105, IND, 64, 30, 40, 68, 
FS105, IND, 43, 40, 33, 60, 
FS107, MEL, 93, 93, 39, 95, 
FS105, MEL, 79, 90, 40, 91, 
FS103, MEL, 43, 27, 40, 61, 
FS108, CEL, 31, 56, 0, 26, 
FS202, CEL, 20, 11, 40, 49, 
FS103, CIV, 71, 40, 30, 63, 
FS109, QUI, 0, 48, 45, 69, 
FS101, COM, 50, 25, 36, 60, 
FS105, IND, 79, 90, 40, 91, 
FS101, CIV, 25, 40, 40, 60, 
FS109, CIV, 0, 65, 40, 72, 
FS102, IQU, 90, 67, 40, 87, 
FS102, CEL, 20, 17, 29, 40, 33
FS101, CEL, 65, 75, 35, 77, 
FS109, CEL, 0, 62, 30, 61, 
FS102, TOP, 30, 17, 40, 54, 
FS105, IND, 86, 90, 0, 53, 
FS102, QUI, 30, 33, 40, 60, 
FS102, IQU, 60, 42, 40, 71, 
FS109, TOP, 0, 52, 50, 76, 
FS102, CEL, 50, 42, 32, 60, 
FS102, IQU, 60, 33, 40, 68, 
FS104, CIV, 100, 100, 35, 95, 
FS103, MEL, 29, 33, 40, 60, 
FS107, CEL, 79, 87, 40, 90, 
FS104, MEL, 100, 86, 40, 96, 
FS102, INF, 30, 50, 40, 64, 
FS102, IND, 60, 17, 40, 63, 
FS101, TOP, 60, 35, 36, 64, 
FS109, TOP, 0, 57, 50, 78, 
FS202, CEL, 30, 67, 40, 69, 
FS105, IND, 36, 0, 20, 31, 
FS101, CEL, 40, 60, 40, 70, 
FS102, IND, 30, 58, 40, 66, 
FS105, CIV, 29, 85, 0, 34, 
FS102, IND, 90, 0, 40, 67, 
FS104, MEL, 50, 100, 40, 85, 
FS102, CEL, 40, 50, 18, 45, 
FS105, , 79, 80, 40, 88, 
FS202, CEL, 10, , 40, 43, 
FS101, IND, 30, 40, 40, 61, 
FS102, COM, 70, 42, 39, 73, 
FS202, MEL, 30, 33, 38, 57, 74
FS101, INF, 0, 25, 0, 8, 
FS101, IQU, 55, 50, 27, 60, 
FS105, QUI, 57, 85, 40, 83, 
FS103, MEL, 36, 27, 37, 56, 38
FS109, CIV, 0, 80, 35, 75, 
FS101, CIV, 50, 45, 40, 68, 
FS102, CEL, 20, 17, 40, 51, 
FS105, FIS, 57, 80, 40, 81, 
FS202, CEL, 70, 56, 35, 73, 
FS108, CEL, 46, 13, 0, 18, 
FS202, MEL, 40, 67, 40, 72, 
FS105, CIV, 57, 55, 40, 74, 
FS105, IQU, 64, 80, 28, 71, 
FS102, IND, 30, 17, 40, 54, 
FS102, IND, 80, 33, 40, 74, 
FS202, CEL, 20, 44, 40, 60, 
FS102, COM, 40, 8, 40, 54, 
FS102, INF, 30, 0, 40, 49, 
FS101, INF, 40, 40, 40, 64, 
FS109, CEL, 0, 57, 50, 78, 
FS101, CEL, 50, 45, 38, 66, 
FS202, CEL, 60, 22, 40, 65, 
FS101, INF, 35, 0, 20, 30, 
FS101, COM, 25, 40, 40, 60, 
FS104, CIV, 100, 93, 40, 98, 
FS107, MEL, 43, 100, 40, 83, 
FS102, COM, 50, 42, 40, 68, 
FS202, CEL, 20, 11, 40, 49, 
FS105, CIV, 64, 75, 40, 82, 
FS202, CEL, 30, 20, 0, 15, 
FS105, CIV, 86, 50, 40, 81, 
FS102, IQU, 50, 50, 36, 66, 
FS202, CEL, 10, 67, 40, 63, 
FS107, CEL, 57, 80, 40, 81, 
FS105, QUI, 71, 60, 40, 79, 
FS104, CIV, 71, 71, 40, 83, 
FS102, IND, 40, 17, 40, 57, 
FS104, MEL, 50, 50, 29, 60, 
FS101, CEL, 70, 35, 40, 72, 
FS102, CEL, 30, 0, 20, 29, 
FS107, CEL, 36, 27, 0, 19, 
FS102, IQU, 40, 8, 40, 54, 85
FS202, MEL, 70, 33, 40, 71, 
FS101, QFB, 50, 15, 9, 28, 
FS108, CEL, 46, 0, 11, 25, 
FS102, IND, 40, 33, 40, 62, 
FS107, MEL, 64, 73, 39, 80, 
FS102, IND, 20, 8, 40, 48, 
FS102, CEL, 40, 0, 0, 12, 
FS104, MEL, 92, 50, 40, 83, 
FS202, MEL, 50, 78, 40, 78, 
FS102, INF, 50, 17, 40, 60, 
FS202, CEL, 50, 22, 40, 62, 
FS102, INF, 30, 0, 0, 9, 
FS102, INF, 20, 0, 40, 46, 
FS202, MEL, 20, 56, 40, 63, 
FS202, MEL, 0, 22, 40, 47, 
FS202, MEL, 40, 33, 40, 62, 
FS102, TOP, 40, 0, 0, 12, 
FS102, IQU, 70, 42, 40, 74, 
FS202, MEL, 50, 56, 40, 72, 
FS102, CEL, 30, 17, 0, 14, 
FS109, CEL, 0, 57, 32, 60, 
FS101, MAT, 45, 45, 36, 63, 
FS109, TOP, 0, 38, 45, 64, 
FS101, TOP, 25, 30, 40, 56, 
FS101, COM, 35, 30, 19, 38, 35
FS105, IQU, 57, 65, 40, 77, 
FS107, CEL, 43, 93, 40, 81, 
FS105, CEL, 86, 80, 40, 90, 
FS105, COM, 36, 30, 10, 30, 
FS105, IND, 71, 45, 40, 75, 
FS103, CIV, 57, 20, 0, 23, 34
FS101, CIV, 70, 60, 17, 56, 70
FS102, IQU, 80, 58, 39, 80, 
FS105, CEL, 79, 85, 40, 89, 
FS107, CEL, 64, 93, 40, 87, 
FS108, , 23, 38, 0, 18, 47
FS107, CEL, 50, 13, 37, 56, 54
FS105, CIV, 36, 90, 40, 78, 
FS105, COM, 79, 50, 40, 79, 
FS105, IQU, 79, 70, 40, 85, 
FS103, CIV, 57, 0, 20, 37, 
FS102, CEL, 40, 25, 40, 60, 
FS105, CIV, 71, 90, 40, 88, 
FS104, CIV, 100, 71, 40, 91, 
FS107, MEL, 64, 33, 40, 69, 
FS105, COM, 50, 85, 0, 40, 
FS107, MEL, 50, 47, 37, 66, 
FS108, CEL, 46, 0, 0, 14, 
FS102, COM, 80, 75, 40, 86, 
FS109, QUI, 0, 43, 50, 72, 
FS102, CEL, 40, 42, 40, 65, 
FS104, MEL, 100, 100, 40, 100, 
FS202, MEL, 20, 0, 0, 6, 
FS102, IQU, 50, 58, 29, 61, 
FS105, MEL, 93, 90, 40, 95, 
FS109, QUI, 0, 48, 90, 100, 
FS103, CIV, 57, 27, 40, 65, 
FS105, MEL, 79, 40, 36, 72, 
FS105, IND, 79, 45, 40, 77, 
FS102, CEL, 50, 42, 40, 68, 
FS108, CEL, 38, 81, 40, 76, 
FS104, MEL, 100, 64, 40, 89, 
FS105, MEL, 71, 45, 23, 60, 
FS102, QUI, 70, 0, 40, 61, 
FS105, CIV, 64, 75, 40, 82, 
FS202, MEL, 40, 11, 37, 52, 44
FS105, COM, 71, 75, 40, 84, 
FS109, CIV, 0, 43, 50, 72, 
FS101, CIV, 45, 45, 39, 66, 
FS105, CIV, 79, 85, 36, 85, 
FS109, CEL, 0, 62, 47, 78, 
FS105, COM, 71, 90, 40, 88, 
FS102, INF, 30, 8, 40, 51, 
FS101, , 30, 0, 0, 9, 
FS104, MEL, 100, 71, 40, 91, 
FS105, CIV, 71, 85, 25, 72, 
FS102, IND, 60, 17, 10, 33, 
FS102, COM, 70, 17, 32, 60, 
FS108, CEL, 69, 56, 28, 66, 
FS102, IQU, 60, 42, 36, 67, 
FS101, IND, 60, 65, 40, 78, 
FS103, CIV, 71, 67, 34, 75, 
FS104, MEL, 83, 71, 37, 83, 
FS105, CIV, 21, 55, 0, 23, 
FS105, COM, 50, 60, 38, 71, 
FS105, IND, 93, 85, 27, 80, 
FS105, CEL, 79, 50, 38, 77, 
FS107, CEL, 21, 80, 40, 70, 
FS102, QUI, 50, 0, 35, 50, 49
FS104, MEL, 100, 71, 40, 91, 
FS102, CEL, 20, 42, 40, 60, 
FS108, CEL, 23, 44, 0, 20, 
FS202, CEL, 10, 33, 40, 53, 
FS105, MEL, 86, 90, 38, 91, 
FS107, MEL, 86, 100, 40, 96, 
FS103, CIV, 71, 47, 40, 75, 
FS103, MEL, 57, 20, 40, 63, 
FS109, CEL, 0, 0, 7, 7, 
FS103, MEL, 36, 20, 36, 53, 52
FS108, CEL, 31, 0, 0, 9, 
FS102, CEL, 40, 0, 40, 52, 
FS202, CEL, 0, 0, 5, 5, 
FS202, MEL, 20, 44, 34, 53, 
FS104, MEL, 92, 100, 40, 98, 
FS101, COM, 25, 0, 20, 28, 
FS105, FIS, 79, 60, 0, 42, 
FS102, QUI, 90, 33, 40, 77, 
FS109, CIV, 0, 67, 45, 78, 
FS101, CIV, 60, 55, 40, 74, 
FS108, , 23, 50, 0, 22, 
FS102, FIS, 10, 0, 0, 3, 
FS105, IND, 0, 0, 10, 10, 
FS102, IQU, 60, 33, 40, 68, 
FS104, MEL, 100, 71, 11, 62, 
FS105, CIV, 50, 85, 26, 66, 
FS109, CEL, 0, 0, 15, 15, 
FS101, CEL, 40, 0, 20, 32, 
FS202, MEL, 30, 44, 40, 62, 
FS202, MEL, 20, 0, 0, 6, 
FS105, CEL, 57, 60, 35, 70, 
FS107, CEL, 50, 60, 40, 73, 
FS102, IND, 60, 50, 40, 73, 
FS105, IQU, 43, 70, 40, 74, 
FS102, CEL, 80, 42, 40, 77, 
FS102, IND, 30, 25, 40, 56, 
FS102, IND, 80, 33, 40, 74, 
FS202, FIS, 70, 0, 0, 21, 48
FS109, QUI, 0, 52, 85, 100, 
FS102, QUI, 70, 33, 38, 69, 
FS103, MEL, 43, 7, 40, 55, 
FS107, MEL, 64, 100, 40, 89, 
FS105, MEL, 86, 80, 38, 88, 
FS101, CEL, 25, 30, 34, 50, 
FS105, CEL, 79, 80, 40, 88, 
FS107, CEL, 79, 67, 40, 84, 
FS107, MEL, 57, 80, 40, 81, 
FS105, CEL, 79, 75, 40, 86, 
FS107, CEL, 93, 87, 40, 94, 
FS107, CEL, 43, 0, 13, 26, 
FS105, CEL, 42, 0, 5, 18, 
FS105, COM, 64, 85, 40, 85, 
FS103, MEL, 36, 20, 34, 51, 65
FS102, COM, 90, 50, 40, 82, 
FS101, IND, 55, 45, 26, 56, 54
FS109, QUI, 0, 62, 45, 76, 
FS109, QUI, 0, 52, 45, 71, 
FS202, FIS, 30, 0, 0, 9, 
FS101, CEL, 15, 35, 40, 55, 
FS103, CIV, 86, 73, 40, 88, 
FS102, COM, 20, 17, 40, 51, 
FS103, MEL, 79, 87, 40, 90, 
FS202, MEL, 40, 44, 40, 65, 
FS103, CIV, 50, 47, 40, 69, 
FS202, MEL, 30, 56, 40, 66, 
FS105, COM, 86, 35, 40, 76, 
FS104, MEL, 92, 50, 0, 43, 
FS102, COM, 30, 17, 40, 54, 
FS104, CIV, 83, 93, 40, 93, 
FS109, CEL, 0, 67, 43, 76, 
FS102, COM, 60, 33, 40, 68, 
FS105, MEL, 79, 25, 40, 71, 
FS102, COM, 0, 8, 0, 2, 
FS104, CIV, 100, 86, 40, 96, 
FS108, CEL, 46, 88, 40, 80, 
FS202, CEL, 60, 0, 40, 60, 
FS202, MEL, 50, 33, 40, 65, 
FS102, IND, 30, 42, 40, 62, 
FS103, MEL, 43, 27, 37, 60, 
FS105, COM, 50, 35, 0, 26, 26
FS105, COM, 64, 75, 40, 82, 
FS108, CEL, 62, 38, 33, 63, 
FS103, MEL, 21, 13, 20, 30, 32
FS102, QUI, 50, 8, 40, 57, 57
FS102, IQU, 70, 58, 40, 78, 
FS105, CIV, 71, 55, 32, 70, 
FS105, IQU, 43, 35, 40, 63, 
FS202, MEL, 20, 56, 40, 63, 
FS102, COM, 60, 25, 30, 56, 
FS105, IND, 57, 50, 40, 72, 
FS102, INF, 70, 42, 40, 74, 
FS102, INF, 50, 25, 40, 62, 
FS102, IND, 30, 17, 40, 54, 
FS103, MEL, 79, 27, 30, 62, 
FS102, COM, 90, 33, 40, 77, 
FS105, IND, 79, 45, 40, 77, 
FS102, COM, 70, 17, 40, 66, 
FS101, MAT, 0, 0, 40, 40, 
FS105, QUI, 7, 0, 0, 2, 
FS103, MEL, 71, 33, 36, 67, 
FS102, CEL, 60, 25, 0, 26, 
FS102, COM, 80, 25, 37, 68, 
FS102, CEL, 40, 25, 36, 56, 28
FS109, CEL, 0, 57, 41, 70, 
FS202, CEL, 0, 0, 10, 10, 
FS102, COM, 70, 42, 40, 74, 
FS105, CIV, 93, 95, 40, 96, 
FS102, QUI, 10, 0, 30, 33, 42
FS109, QUI, 0, 62, 45, 76, 
FS107, CEL, 43, 80, 37, 74, 
FS105, CIV, 79, 90, 40, 91, 
FS105, MEL, 29, 0, 20, 29, 
FS108, CEL, 62, 75, 35, 76, 
FS105, CIV, 86, 85, 38, 89, 
FS105, IND, 71, 95, 40, 90, 
FS105, COM, 64, 65, 40, 79, 
FS105, COM, 36, 60, 40, 69, 
FS202, MEL, 50, 33, 40, 65, 
FS101, , 60, 70, 0, 39, 
FS105, IND, 43, 35, 40, 63, 
FS202, CEL, 40, 0, 0, 12, 
FS105, IQU, 29, 60, 40, 67, 
FS105, MEL, 36, 40, 37, 60, 
FS102, IND, 40, 8, 37, 51, 55
FS103, MEL, 86, 93, 40, 94, 
FS107, CEL, 36, 40, 40, 63, 
FS105, CEL, 86, 100, 40, 96, 
FS109, CEL, 0, 33, 47, 64, 
FS102, CEL, 50, 33, 40, 65, 
FS103, MEL, 79, 40, 40, 76, 
FS105, IND, 57, 80, 32, 73, 
FS105, IQU, 71, 90, 40, 88, 
FS102, IQU, 60, 8, 40, 60, 
FS105, CEL, 36, 85, 40, 76, 
FS107, CEL, 36, 73, 40, 73, 
FS105, IND, 86, 75, 38, 86, 
FS103, MEL, 21, 27, 40, 54, 
FS104, MEL, 100, 79, 38, 92, 
FS105, CEL, 71, 90, 40, 88, 
FS101, CIV, 45, 60, 40, 72, 
FS109, CIV, 0, 85, 50, 92, 
FS108, CEL, 23, 25, 38, 52, 61
FS202, MEL, 30, 67, 40, 69, 
FS202, MEL, 40, 56, 40, 69, 
FS105, IND, 93, 90, 39, 94, 
FS102, COM, 60, 8, 0, 20, 
FS105, COM, 64, 50, 40, 74, 
FS202, FIS, 40, 0, 0, 12, 74
FS103, MEL, 71, 73, 36, 79, 
FS105, IND, 93, 90, 40, 95, 
FS107, MEL, 57, 93, 40, 85, 
FS105, MEL, 86, 75, 40, 88, 
FS105, COM, 86, 85, 39, 90, 
FS102, CEL, 40, 33, 40, 62, 
FS105, CIV, 100, 85, 40, 96, 
FS103, MEL, 64, 27, 40, 67, 
FS102, CEL, 60, 0, 0, 18, 36
FS103, CIV, 100, 67, 36, 86, 
FS108, CEL, 23, 50, 0, 22, 33
FS105, QUI, 36, 40, 40, 63, 
FS105, IQU, 43, 80, 0, 37, 
FS105, COM, 36, 70, 38, 70, 
FS102, QUI, 70, 8, 40, 63, 
FS102, FIS, 90, 83, 40, 92, 
FS107, CEL, 79, 93, 38, 90, 
FS109, CEL, 0, 38, 35, 54, 
FS202, CEL, 60, 60, 0, 36, 
FS101, TOP, 55, 0, 0, 16, 
FS101, COM, 20, 0, 0, 6, 
FS104, MEL, 92, 64, 40, 87, 
FS101, CEL, 20, 0, 20, 26, 
FS202, MEL, 30, 67, 40, 69, 
FS101, MAT, 20, 0, 12, 18, 
FS107, CEL, 79, 80, 40, 88, 
FS105, CEL, 43, 50, 40, 68, 
FS104, MEL, 58, 86, 40, 83, 
FS105, COM, 36, 40, 36, 60, 
FS202, CEL, 30, 0, 40, 49, 
FS202, CEL, 20, 60, 0, 24, 
FS105, CEL, 79, 0, 0, 24, 
FS105, COM, 36, 85, 37, 73, 
FS105, IQU, 64, 95, 28, 76, 
FS103, CIV, 64, 67, 31, 70, 
FS109, QUI, 0, 43, 100, 100, 
FS105, IND, 50, 0, 8, 23, 
FS109, TOP, 0, 57, 29, 60, 
FS202, CEL, 20, 22, 35, 48, 48
FS108, CEL, 31, 44, 34, 56, 62
FS102, CEL, 30, 8, 35, 46, 
FS105, CEL, 100, 70, 40, 91, 
FS108, CEL, 23, 50, 20, 42, 
FS202, CEL, 40, 0, 40, 52, 
FS109, BIM, 0, 0, 19, 19, 
FS102, TOP, 80, 42, 40, 77, 
FS107, CEL, 57, 0, 40, 57, 
FS105, CEL, 57, 85, 0, 43, 33
FS105, CEL, 36, 65, 40, 70, 
FS107, CEL, 43, 47, 20, 47, 
FS103, MEL, 43, 33, 25, 48, 
FS101, CIV, 35, 50, 40, 66, 
FS109, CIV, 0, 62, 46, 77, 
FS101, , 80, 70, 20, 65, 
FS105, CEL, 36, 70, 40, 72, 
FS107, CEL, 36, 27, 32, 51, 36
FS102, COM, 40, 42, 40, 65, 
FS101, CEL, 45, 55, 40, 70, 
FS105, MEL, 21, 25, 0, 14, 
FS109, CIV, 0, 43, 50, 72, 
FS101, CIV, 25, 20, 28, 42, 57
FS102, COM, 80, 50, 32, 71, 
FS105, IQU, 50, 50, 40, 70, 
FS101, INF, 50, 45, 40, 68, 
FS102, INF, 30, 25, 35, 52, 50
FS102, INF, 40, 100, 39, 81, 
FS105, CEL, 43, 50, 40, 68, 
FS107, CEL, 43, 47, 40, 67, 
FS105, MEL, 0, 0, 5, 5, 
FS101, TOP, 30, 50, 25, 49, 
FS103, CIV, 57, 47, 40, 71, 
FS105, CEL, 64, 60, 38, 75, 
FS107, CEL, 14, 0, 0, 4, 
FS104, MEL, 92, 64, 30, 77, 
FS102, CEL, 30, 25, 40, 56, 
FS102, QUI, 40, 33, 40, 62, 
FS105, QUI, 50, 80, 40, 79, 
FS102, FIS, 30, 30, 38, 56, 
FS105, CEL, 84, 80, 39, 88, 
FS107, CEL, 57, 87, 40, 83, 
FS109, CIV, 0, 90, 50, 95, 
FS105, CIV, 79, 90, 30, 81, 
FS105, CEL, 14, 75, 36, 63, 
FS101, , 65, 65, 0, 39, 
FS105, IQU, 50, 35, 38, 64, 
FS202, CEL, 30, 22, 10, 26, 
FS105, COM, 64, 85, 40, 85, 
FS105, COM, 50, 45, 40, 68, 
FS102, CEL, 30, 58, 40, 66, 
FS108, CEL, 54, 69, 39, 76, 
FS101, COM, 35, 0, 20, 30, 
FS104, CIV, 67, 21, 0, 26, 
FS104, MEL, 100, 71, 40, 91, 
FS102, CEL, 10, 17, 33, 41, 56
FS107, MEL, 71, 0, 0, 21, 
FS105, MEL, 7, 25, 40, 50, 
FS105, FIS, 64, 50, 38, 72, 
FS107, MEL, 71, 73, 37, 80, 
FS103, CIV, 57, 60, 40, 75, 
FS102, TOP, 70, 25, 40, 68, 
FS107, CEL, 64, 67, 38, 77, 
FS105, CEL, 64, 50, 40, 74, 
FS105, IQU, 71, 90, 40, 88, 
FS105, MEL, 50, 35, 30, 56, 
FS104, CIV, 85, 79, 40, 89, 
FS109, QUI, 0, 48, 80, 100, 
FS202, MEL, 50, 33, 40, 65, 
FS102, IND, 40, 8, 40, 54, 
FS105, COM, 79, 90, 40, 91, 
FS108, CEL, 38, 56, 30, 60, 
FS108, CEL, 62, 50, 10, 44, 
FS105, CIV, 0, 0, 10, 10, 
FS202, MEL, 20, 89, 40, 73, 
FS104, CIV, 100, 100, 40, 100, 
FS105, IND, 71, 85, 40, 87, 
FS102, COM, 60, 17, 40, 63, 
FS102, TOP, 20, 17, 40, 51, 
FS108, CEL, 54, 69, 31, 68, 
FS109, CEL, 0, 71, 48, 84, 
FS108, CEL, 8, 50, 38, 55, 74
FS202, CEL, 40, 0, 0, 12, 
FS103, CIV, 79, 60, 35, 77, 
FS102, IQU, 90, 50, 40, 82, 
FS104, MEL, 100, 71, 40, 91, 
FS102, TOP, 70, 17, 40, 66, 
FS105, IQU, 79, 85, 40, 89, 
FS103, MEL, 64, 47, 30, 63, 
FS102, CEL, 0, 0, 40, 40, 
FS102, CEL, 50, 25, 40, 62, 
FS105, COM, 50, 40, 40, 67, 
FS103, MEL, 7, 47, 29, 45, 
FS105, CIV, 79, 70, 29, 74, 
FS109, CEL, 0, 71, 50, 86, 
FS202, CEL, 40, 0, 40, 52, 
FS102, IQU, 100, 42, 40, 83, 
FS105, CEL, 57, 80, 25, 66, 
FS105, COM, 71, 30, 40, 70, 
FS107, CEL, 57, 80, 37, 78, 
FS202, CEL, 10, 50, 0, 18, 
FS101, QFB, 65, 25, 40, 67, 
FS105, IND, 79, 75, 40, 86, 
FS105, COM, 50, 35, 12, 38, 
FS101, INF, 35, 40, 40, 62, 
FS109, CEL, 0, 0, 10, 10, 
FS101, CIV, 25, 65, 40, 67, 
FS109, CIV, 0, 75, 35, 72, 
FS109, TOP, 0, 57, 45, 74, 
FS102, COM, 70, 42, 36, 70, 
FS102, INF, 100, 100, 38, 98, 
FS102, CEL, 70, 17, 40, 66, 
FS202, CEL, 30, 0, 40, 49, 
FS108, CEL, 54, 75, 30, 69, 
FS107, CEL, 57, 0, 0, 17, 
FS102, INF, 30, 25, 40, 56, 
FS102, INF, 50, 25, 40, 62, 
FS105, IQU, 43, 50, 37, 65, 
FS102, INF, 20, 8, 0, 8, 26
FS101, COM, 45, 0, 20, 34, 
FS102, COM, 20, 0, 0, 6, 
FS202, MEL, 30, 0, 0, 9, 
FS102, INF, 20, 8, 40, 48, 
FS202, CEL, 40, 0, 0, 12, 
FS107, CEL, 50, 100, 40, 85, 
FS102, COM, 40, 25, 40, 60, 
FS102, IND, 40, 0, 40, 52, 
FS101, IND, 55, 45, 28, 60, 
FS102, CEL, 20, 25, 36, 50, 60
FS102, IQU, 50, 0, 0, 15, 
FS108, CEL, 31, 69, 38, 68, 
FS202, CEL, 40, 0, 0, 12, 
FS102, COM, 30, 17, 30, 44, 
FS101, CIV, 45, 0, 0, 14, 
FS109, CIV, 0, 0, 50, 50, 
FS102, IND, 80, 42, 28, 65, 
FS202, MEL, 20, 45, 40, 60, 
FS102, IND, 10, 25, 37, 48, 
FS103, CIV, 50, 20, 40, 61, 
FS108, CEL, 69, 63, 40, 80, 
FS202, CEL, 20, 0, 40, 46, 
FS102, COM, 40, 33, 40, 62, 
